"Submission Time","Quina edat tens?",Gènere,"Quin tipus de formació acadèmica tens?","Et consideres una persona feliç?","Has sofert mai una depressió?","Creus en l’amor a primera vista?","Quantes parelles estables creus que has tingut?","T’agrada més la muntanya o la platja?","Et consideres una persona puntual?","Actualment fas donatius a algun tipus d’entitat social?","Acostumes a donar diners a captaires?","Creus que l'us de la violència pot ser justificat?","Creus que la fi pot justificar els mitjans?","Quin barri barceloní dels següents preferiries viure?","Aturaries a un desconegut que s’anés a treure la vida?","Creus que pagues massa impostos?","Políticament, et consideres una persona de...","Al llarg d' una setmana et mastubes:","Prefereixes que el teu cap superior de feina sigui...","Prioritzes el plaer als diners?"
"4 May 2022 @ 16:11 PM","20 anys o menys",Dona,"Mòdul professional",Sí,No,Sí,,Platja,No,Sí,No,No,No,"Poble nou",Sí,Sí,Esquerres,1,Indiferent,Sí
"4 May 2022 @ 16:09 PM","70 o més",Dona,"Títol universitari",Sí,No,No,1,Platja,Sí,Sí,No,No,No,Eixample,Sí,No,"Centre esquerra",0,Indiferent,Sí
"4 May 2022 @ 16:08 PM","40 a 50",Dona,"Títol universitari",Sí,No,Sí,3,Muntanya,Sí,Sí,Sí,Sí,No,"Cap dels anteriors",Sí,No,Esquerres,0,Indiferent,Sí
"4 May 2022 @ 16:07 PM","20 anys o menys",Dona,"Títol universitari",Sí,Sí,Sí,1,Platja,Sí,No,No,No,No,"Poble nou",Sí,Sí,Esquerres,2,Dona,Sí
"4 May 2022 @ 16:07 PM","30 a 40",Dona,"Títol universitari",Sí,No,No,1,Platja,Sí,Sí,No,No,No,Gràcia,Sí,Sí,Esquerres,0,Dona,Sí
"4 May 2022 @ 16:06 PM","20 a 30",Dona,"Títol universitari",No,No,Sí,2,Muntanya,Sí,No,No,Sí,No,"Cap dels anteriors",Sí,Sí,Esquerres,1,Indiferent,Sí
"4 May 2022 @ 16:06 PM","30 a 40",Dona,"Títol universitari",Sí,Sí,No,1,Muntanya,No,Sí,No,No,No,"Poble nou",Sí,No,Esquerres,0,Dona,Sí
